Player,Team,Initial 16 Star PB,Final 16 Star PB,Initial 70 Star PB,Final 70 Star PB,Initial 120 Star PB,Final 120 Star PB,Points
yale,rubiksmeth,00:16:10,00:16:10,00:49:39,00:49:39,01:46:49,01:46:19,240
pignickel,808sandbailey,00:17:47,00:17:47,01:05:23,01:03:33,02:30:00,02:30:00,220
mennismonk,ringo792,00:17:42,00:17:35,00:58:08,00:58:08,02:30:00,02:30:00,147
flikkaaa,felix_helix_tm,00:19:55,00:19:44,01:10:00,01:09:33,02:30:00,02:30:00,142
takism64,thomkar,00:17:55,00:17:49,00:53:50,00:53:50,01:48:17,01:48:17,126
kywil,ringo792,00:20:00,00:20:00,01:10:00,01:09:24,02:30:00,02:30:00,72
deviousdd,horrordoesspeedruns,00:17:27,00:17:24,00:55:41,00:55:41,02:27:27,02:27:27,63
classichanky,xoofey,00:16:45,00:16:44,00:56:55,00:56:55,02:30:00,02:30:00,35
felix_helix_tm,felix_helix_tm,00:20:00,00:20:00,01:05:43,01:05:35,02:30:00,02:30:00,16
benyork36,pex,00:16:10,00:16:10,00:59:50,00:59:50,02:30:00,02:30:00,0
gainai,tabascoth,00:15:32,00:15:32,00:48:17,00:48:17,01:40:12,01:40:12,0
wussgooch,xoofey,00:20:00,00:20:00,01:10:00,01:10:00,02:30:00,02:30:00,0
wilko,sennai,00:20:00,00:20:00,00:49:40,00:49:40,01:43:57,01:43:57,0
xotyrion,bluehavengaming,00:17:38,00:17:38,00:54:02,00:54:02,02:30:00,02:30:00,0
corginess,sennai,00:20:00,00:20:00,01:10:00,01:10:00,02:30:00,02:30:00,0
drimys,tabascoth,00:16:27,00:16:27,00:54:25,00:54:25,01:56:36,01:56:36,0
yogoc,bootycheekman,00:18:29,00:18:29,00:55:26,00:55:26,02:30:00,02:30:00,0
drogie,drogie,00:16:52,00:16:52,00:49:18,00:49:18,01:43:16,01:43:16,0
eldeve,bluehavengaming,00:17:10,00:17:10,00:55:47,00:55:47,02:30:00,02:30:00,0
yungestgravy,widdit,00:17:27,00:17:27,00:49:58,00:49:58,01:47:32,01:47:32,0
acemussel,ayeessbee,00:17:40,00:17:40,00:54:21,00:54:21,02:26:12,02:26:12,0
oknem,ayeessbee,00:17:15,00:17:15,00:53:01,00:53:01,01:56:42,01:56:42,0
gregothegreatest,rubiksmeth,00:19:54,00:19:54,01:10:00,01:10:00,02:30:00,02:30:00,0
kirby233,ayeessbee,00:20:00,00:20:00,01:10:00,01:10:00,02:30:00,02:30:00,0
pete,fcbdaboss,00:16:52,00:16:52,00:50:06,00:50:06,01:48:29,01:48:29,0
n8rbeans,bootycheekman,00:17:05,00:17:05,00:55:38,00:55:38,02:10:55,02:10:55,0
miles347,drogie,00:19:54,00:19:54,01:10:00,01:10:00,02:30:00,02:30:00,0
rl_benji,ayeessbee,00:19:42,00:19:42,00:56:04,00:56:04,02:30:00,02:30:00,0
melothon,mrspeedrun,00:20:00,00:20:00,01:10:00,01:10:00,02:30:00,02:30:00,0
mashsrl,widdit,00:17:19,00:17:19,00:54:46,00:54:46,01:57:16,01:57:16,0
schnoz64,benji64,00:16:29,00:16:29,00:49:25,00:49:25,01:44:43,01:44:43,0
scythamer,badroenis,00:16:06,00:16:06,00:49:48,00:49:48,02:07:30,02:07:30,0
seceon,mrspeedrun,00:16:31,00:16:31,00:52:39,00:52:39,01:57:43,01:57:43,0
karin,ringo792,00:15:38,00:15:38,00:47:58,00:47:58,01:39:00,01:39:00,0
taylor3311,bootycheekman,00:16:42,00:16:42,00:49:38,00:49:38,01:43:12,01:43:12,0
jojo,benji64,00:17:15,00:17:15,00:51:13,00:51:13,02:30:00,02:30:00,0
invisible_hole,widdit,00:17:23,00:17:23,00:55:45,00:55:45,02:30:00,02:30:00,0
idpg,badroenis,00:19:19,00:19:19,01:10:00,01:10:00,02:30:00,02:30:00,0
horrordoesspeedruns,horrordoesspeedruns,00:15:58,00:15:58,00:49:05,00:49:05,01:55:38,01:55:38,0
superoutplayz,rubiksmeth,00:19:12,00:19:12,01:10:00,01:10:00,02:30:00,02:30:00,0
supervipert302,horrordoesspeedruns,00:16:13,00:16:13,00:49:40,00:49:40,01:45:37,01:45:37,0
hakasay,thomkar,00:17:49,00:17:49,00:51:04,00:51:04,01:51:55,01:51:55,0
gtm,xoofey,00:15:08,00:15:08,01:10:00,01:10:00,02:30:00,02:30:00,0
peej64,felix_helix_tm,00:17:52,00:17:52,00:57:26,00:57:26,02:30:00,02:30:00,0
lusion,bootycheekman,00:16:36,00:16:36,00:50:41,00:50:41,01:54:27,01:54:27,0
