Date Accepted,Player,Team,Category,Time,Points
2021-10-22,stomr,bluehavengaming,120,02:02:41,566
2021-10-22,kally,tabascoth,120,01:42:05,441
2021-10-22,lucinovic,badroenis,70,00:51:35,500
2021-10-22,mulp64,ayeessbee,16,00:18:11,252
2021-10-23,saksdal,tabascoth,70,00:48:30,1011
2021-10-23,conner,felix_helix_tm,120,01:53:49,538
2021-10-24,tayyip,alaris,70,00:55:18,434
2021-10-24,frost_byte,horrordoesspeedruns,70,00:49:45,135
2021-10-24,jaybeanz,badroenis,120,02:13:32,161
2021-10-24,egasyelir,alaris,120,01:51:26,280
2021-10-24,fleetingazure,chipgroove,70,00:52:04,143
2021-10-24,ayeessbee,ayeessbee,70,01:00:06,48
2021-10-24,chipgroove,chipgroove,70,00:49:06,189
2021-10-24,ayeessbee,ayeessbee,70,00:59:59,28
2021-10-24,chipgroove,chipgroove,70,00:48:57,243
2021-10-24,zeussm64,rubiksmeth,70,00:50:02,17
2021-10-24,bluehavengaming,bluehavengaming,16,00:18:58,430
2021-10-25,stomr,bluehavengaming,70,00:53:51,169
2021-10-25,reallybadforyou,felix_helix_tm,70,00:54:04,147
2021-10-25,volantis,felix_helix_tm,120,02:19:25,464
2021-10-25,conner,felix_helix_tm,120,01:53:17,160
2021-10-25,808sandbailey,808sandbailey,70,01:02:41,120
2021-10-25,thegoodjakeward,chipgroove,70,01:03:45,62
2021-10-25,tabascoth,tabascoth,70,00:49:02,729
2021-10-25,reallybadforyou,felix_helix_tm,70,00:53:22,446
2021-10-25,thegoodjakeward,chipgroove,70,01:02:50,110
2021-10-26,thegoodjakeward,chipgroove,70,01:02:39,22
2021-10-26,alaris,alaris,16,00:16:47,210
2021-10-26,rubiksmeth,rubiksmeth,16,00:18:36,392
2021-10-27,tracers_husband,bluehavengaming,70,00:49:29,567
2021-10-27,felix_helix_tm,felix_helix_tm,70,01:05:35,16
2021-10-27,sebaa54,widdit,70,00:50:24,204
2021-10-27,808sandbailey,808sandbailey,16,00:19:07,184
2021-10-27,doubledeuce,ayeessbee,16,00:18:22,364
2021-10-28,naraknight,808sandbailey,70,00:56:02,77
2021-10-28,madware,alaris,16,00:17:09,378
2021-10-28,3l3tric,pex,70,00:52:50,308
2021-10-28,808sandbailey,808sandbailey,70,01:01:20,242
2021-10-28,tag609,pex,70,00:50:24,1399
2021-10-28,nicv,chipgroove,70,00:50:24,357
2021-10-28,chewygoesfast,thomkar,16,00:17:54,1106
2021-10-29,dekudude,benji64,70,00:48:30,264
2021-10-29,seiozi,tabascoth,70,00:53:55,293
2021-10-29,benji64,benji64,16,00:15:30,728
2021-10-29,leysauce,bluehavengaming,120,01:44:49,1071
2021-10-31,dentoriousred,raccoonbilly,70,00:56:44,436
2021-10-31,zeussm64,rubiksmeth,16,00:15:58,630
2021-10-31,808sandbailey,808sandbailey,70,01:01:14,24
2021-10-31,bluehavengaming,bluehavengaming,70,01:04:16,124
2021-10-31,conner,felix_helix_tm,120,01:52:05,360
2021-10-31,zeussm64,rubiksmeth,120,01:53:07,856
2021-10-31,badroenis,badroenis,70,00:49:06,945
2021-10-31,frenchiestfry2,808sandbailey,16,00:19:40,160
2021-10-31,amahumahaba,mrspeedrun,120,02:02:55,600
2021-10-31,thegoodjakeward,chipgroove,70,01:02:23,32
2021-11-01,kally,tabascoth,120,01:41:46,399
2021-11-01,partitionpenguin,raccoonbilly,70,00:57:17,424
2021-11-01,808sandbailey,808sandbailey,70,01:00:15,236
2021-11-01,tracers_husband,bluehavengaming,120,01:45:44,448
2021-11-02,lucinovic,badroenis,16,00:17:03,147
2021-11-02,falconxfalcon,alaris,120,01:50:58,675
2021-11-02,treybordo,sennai,70,00:50:09,867
2021-11-02,thegoodjakeward,chipgroove,70,01:00:54,310
2021-11-02,808sandbailey,808sandbailey,70,00:58:50,340
2021-11-02,2003041,raccoonbilly,70,01:00:05,332
2021-11-02,nebula,rubiksmeth,120,01:40:36,894
2021-11-03,2003041,raccoonbilly,70,00:59:14,204
2021-11-03,lucinovic,badroenis,120,01:49:20,340
2021-11-03,sebaa54,widdit,16,00:17:15,189
2021-11-03,pasta_toots,thomkar,70,01:04:12,384
2021-11-03,ooferboi_69,ringo792,120,02:22:52,266
2021-11-03,mrcornholio34,pex,70,01:01:35,140
2021-11-03,3l3tric,pex,70,00:51:53,627
2021-11-03,cartersoft,thomkar,70,00:57:01,132
2021-11-03,falconxfalcon,alaris,120,01:47:29,1318
2021-11-03,egasyelir,alaris,120,01:48:35,930
2021-11-03,takism64,thomkar,16,00:17:49,126
2021-11-04,cheesyleech,raccoonbilly,70,00:50:36,153
2021-11-04,808sandbailey,808sandbailey,120,02:27:39,141
2021-11-04,nindiddeh,fcbdaboss,16,00:16:36,3510
2021-11-05,bootycheekman,bootycheekman,16,00:16:57,504
2021-11-05,saksdal,tabascoth,16,00:15:31,1183
2021-11-05,nickless,badroenis,16,00:16:26,2093
2021-11-05,chipgroove,chipgroove,16,00:15:59,1491
2021-11-06,siera64,alaris,16,00:18:18,308
2021-11-06,cheesyleech,raccoonbilly,70,00:50:22,238
2021-11-07,amahumahaba,mrspeedrun,16,00:17:14,315
2021-11-07,clementlebro,mrspeedrun,70,00:49:15,702
2021-11-07,ooferboi_69,ringo792,70,00:56:38,246
2021-11-07,cheesyleech,raccoonbilly,70,00:50:10,204
2021-11-07,conner,felix_helix_tm,16,00:16:40,700
2021-11-07,kohiru,chipgroove,70,00:57:19,240
2021-11-07,bluehavengaming,bluehavengaming,70,01:04:14,4
2021-11-08,madware,alaris,16,00:16:41,854
2021-11-08,conner,felix_helix_tm,16,00:16:33,245
2021-11-08,oatslice,pex,70,00:56:23,271
2021-11-09,tabascoth,tabascoth,70,00:48:50,324
2021-11-09,toilet64_,drogie,16,00:16:42,840
2021-11-09,reallybadforyou,felix_helix_tm,16,00:16:41,630
2021-11-09,zans,fcbdaboss,70,01:04:32,112
2021-11-09,808sandbailey,808sandbailey,16,00:18:39,392
2021-11-09,oatslice,pex,70,00:55:13,490
2021-11-10,kyman,xoofey,120,01:42:14,401
2021-11-10,reallybadforyou,felix_helix_tm,70,00:53:11,121
2021-11-10,tracers_husband,bluehavengaming,120,01:45:39,40
2021-11-10,nicov2k,bootycheekman,16,00:17:08,231
2021-11-10,rrufflz,chipgroove,70,00:54:20,252
2021-11-10,partitionpenguin,raccoonbilly,70,00:55:38,642
2021-11-11,doubledeuce,ayeessbee,70,00:58:58,192
2021-11-11,kohiru,chipgroove,16,00:17:41,791
2021-11-11,fleetingazure,chipgroove,70,00:51:54,110
2021-11-11,seiozi,tabascoth,16,00:17:59,49
2021-11-11,heyzeus,fcbdaboss,16,00:16:49,889
2021-11-11,bluehavengaming,bluehavengaming,70,01:03:36,76
2021-11-11,suigi,sennai,16,00:14:55,770
2021-11-12,frenchiestfry2,808sandbailey,16,00:19:30,80
2021-11-12,awning_guy,benji64,16,00:17:43,483
2021-11-12,tayyip,alaris,16,00:16:46,490
2021-11-12,fleetingazure,chipgroove,70,00:51:27,405
2021-11-12,seiozi,tabascoth,16,00:17:39,420
2021-11-12,twist17,raccoonbilly,70,01:05:52,46
2021-11-12,twist17,raccoonbilly,70,01:03:35,274
2021-11-12,naraknight,808sandbailey,70,00:55:49,91
2021-11-12,yale,rubiksmeth,120,01:46:46,24
2021-11-12,kally,tabascoth,70,00:48:15,1644
2021-11-13,twitchname,widdit,70,00:50:14,408
2021-11-13,reallybadforyou,felix_helix_tm,70,00:52:44,297
2021-11-13,zeussm64,rubiksmeth,70,00:49:33,763
2021-11-13,treybordo,sennai,16,00:15:26,294
2021-11-13,seiozi,tabascoth,70,00:53:30,275
2021-11-13,mennismonk,ringo792,16,00:17:35,147
2021-11-13,twitchname,widdit,16,00:15:59,2331
2021-11-14,oatslice,pex,70,00:54:29,308
2021-11-14,nindiddeh,fcbdaboss,120,01:40:03,1554
2021-11-14,lucinovic,badroenis,16,00:16:46,553
2021-11-14,cartersoft,thomkar,16,00:17:34,252
2021-11-15,bobt0ad,808sandbailey,16,00:16:55,217
2021-11-15,seiozi,tabascoth,70,00:52:41,539
2021-11-15,oatslice,pex,70,00:53:41,412
2021-11-15,yale,rubiksmeth,120,01:46:35,88
2021-11-15,tayyip,alaris,120,02:04:36,1788
2021-11-15,bluehavengaming,bluehavengaming,70,01:03:13,46
2021-11-15,zans,fcbdaboss,120,02:19:41,450
2021-11-15,sennai,sennai,16,00:17:23,378
2021-11-15,naraknight,808sandbailey,70,00:55:28,147
2021-11-16,2003041,raccoonbilly,16,00:17:48,294
2021-11-16,eleesuh,tabascoth,70,00:50:47,850
2021-11-16,ooferboi_69,ringo792,120,02:17:47,305
2021-11-16,sennai,sennai,70,00:58:17,1484
2021-11-16,treybordo,sennai,16,00:15:24,294
2021-11-17,zans,fcbdaboss,70,01:02:58,188
2021-11-17,dentoriousred,raccoonbilly,16,00:17:41,63
2021-11-17,mrcornholio34,pex,16,00:17:34,294
